mibig_accession,compounds,accession
BGC0000001,abyssomicin C|atrop-abyssomicin C,JF752342.1
BGC0000002,aculeximycin,CP007155.1
BGC0000003,AF-toxin,AB179766.1
BGC0000004,aflatoxin G1,AB196490.1
BGC0000005,aflatoxin,AF452809.1
BGC0000006,aflatoxin,AY510451.1
BGC0000007,aflatoxin,AY510452.1
BGC0000008,aflatoxin,AY510453.1
BGC0000009,aflatoxin,AY510454.1
BGC0000010,aflatoxin,AY510455.1
BGC0000011,sterigmatocystin,AY092402.3
BGC0000012,alternapyrone,AB120221.1
BGC0000013,alternariol,BN001304.1
BGC0000014,ambruticin,DQ897667.1
BGC0000015,amphotericin,AF357202.1
BGC0000016,amphotericin B,AY636001.1
BGC0000017,anatoxin-a|homoanatoxin-a,FJ477836.1
BGC0000018,angolamycin,EU220288.1
BGC0000019,angolamycin,EU232693.1
BGC0000020,maytansine|ansamitocin P-3,AF453501.1
BGC0000021,apoptolidin,JF819834.1
BGC0000022,asperfuranone,AACD01000015.1
BGC0000023,aurafuron A,AM850130.1
BGC0000024,aureothin,AJ575648.1
BGC0000025,avermectin,AB032523.1
BGC0000026,avilamycin A|avilamycin C,AF333038.2
BGC0000027,ankaflavin|monascin|rubropunctatine|monascorubrin,KC148521.1
BGC0000028,bafilomycin B1,GU390405.1
BGC0000029,BE-14106,FJ872523.1
BGC0000030,bikaverin,HF679027.1
BGC0000031,borrelidin,AJ580915.1
BGC0000032,A23187,HM452329.1
BGC0000033,calicheamicin,AF497482.1
BGC0000034,candicidin,AY310323.2
BGC0000035,chalcomycin A,AY509120.1
BGC0000036,chlorothricin|deschlorothricin,DQ116941.2
BGC0000037,cichorine,BN001301.1
BGC0000038,coelimycin P1,AL645882.2
BGC0000039,compactin,AB072893.1
BGC0000040,concanamycin A,DQ149987.1
BGC0000041,coronafacic acid,AF098795.1
BGC0000042,cremimycin,AB818354.1
BGC0000043,curacin A,GQ412749.1
BGC0000044,dawenol,CP002271.1
BGC0000045,dehydrocurvularin,JX971534.1
BGC0000046,depudecin,FJ977165.1
BGC0000047,"10,11-dihydro-8-deoxy-12,13-deepoxy-12,13-dihydrochalcomycin",AY118081.2
BGC0000048,dothistromin,DQ149246.3
BGC0000049,E-492|E-975,DQ272521.1
BGC0000050,E-837,DQ272520.1
BGC0000051,ebelactone A|ebelactone B,KC894072.1
BGC0000052,ECO-02301,AY899214.1
BGC0000053,elaiophylin,GP697151.1
